"Footprint","Part Value","LCSC Part"
"3V3","3V3","PinHeader_2x10_P2.54mm_Vertical"
"C1","10uF/16V(10%)","C_0805_2012Metric"
"C2","100nF/16V(10%)","C_0402_1005Metric"
"C3","1uF/16V(10%)(NC)","C_0402_1005Metric"
"C4","22pF/50V(5%)","C_0402_1005Metric"
"C5","100nF/10V(5%)","C_0402_1005Metric"
"C6","10uF/16V(10%)","C_0805_2012Metric"
"C_0402_1005Metric","100nF/16V(10%)","C1525"
"C_0402_1005Metric","22pF/50V(5%)","C1555"
"C_0402_1005Metric","100nF/10V(5%)","C1525"
"C_0805_2012Metric","10uF/16V(10%)","C15850"
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12"
"L1","2.2uH(20%)","L_Sunlord_MWSA0402S"
"R1","0(1%)","R_0805_2012Metric"
"R2","10K(1%)","R_0402_1005Metric"
"R3","680K(1%)","R_0402_1005Metric"
"R4","150K(1%)","R_0402_1005Metric"
"R_0402_1005Metric","10K(1%)","C25744"
"R_0402_1005Metric","150K(1%)","C25755"
"R_0805_2012Metric","0(1%)","C17477"
"U1","ETA3409S2F","SOT-23-5_HandSoldering"
